reg_number,reg_type,club_name,amount_paid,amount_due,payment_mode,payment_status,payment_ref
SINC-0001,Double,Bangalore,30000,0,Online,paid,acc27966-647
SINC-0002,Single,Bangalore,12000,0,Online,paid,e11fca9f-c60
SINC-0003,Double,Bangalore,30000,0,Online,paid,acc27966-647
SINC-0004,Single,Bangalore,22000,0,Online,paid,37c43c44-858
SINC-0005,Double,Bangalore,30000,0,Online,paid,acc27966-647
SINC-0006,Double,Bangalore,30000,0,Online,paid,acc27966-647
SINC-0007,Single,Bangalore,22000,0,Online,paid,37c43c44-858
SINC-0008,Double,Bangalore,30000,0,Online,paid,acc27966-647
SINC-0009,Single,Bangalore,22000,0,Online,paid,37c43c44-858
SINC-0010,Double,Bangalore,30000,0,Online,paid,acc27966-647
SINC-0011,Double,Bangalore,15000,0,Online,paid,e11fca9f-c60
SINC-0012,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0013,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0014,Single,Bangalore,25000,0,Online,paid,37c43c44-858
SINC-0015,Double,Bangalore,15000,0,Online,paid,e11fca9f-c60
SINC-0016,Double,Bangalore,15000,0,Online,paid,e11fca9f-c60
SINC-0017,Single,Bangalore,15000,0,Online,paid,e11fca9f-c60
SINC-0018,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0019,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0020,Single,Bangalore,25000,0,Online,paid,37c43c44-858
SINC-0021,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0022,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0023,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0024,Double,Bangalore,35000,0,Online,paid,acc27966-647
SINC-0025,Single,Bangalore,25000,0,Online,paid,37c43c44-858
SINC-0026,Single,Bangalore,25000,0,Online,paid,37c43c44-858
SINC-0027,Single,Bangalore,25000,0,Online,paid,37c43c44-858
SINC-0028,Double,Bhubaneswar,30000,0,Online,paid,acc27966-647
SINC-0029,Double,Bhubaneswar,30000,0,Online,paid,acc27966-647
SINC-0030,Single,Bhubaneswar,22000,0,Online,paid,37c43c44-858
SINC-0031,Double,Bhopal,30000,0,Online,paid,acc27966-647
SINC-0032,Single,Bombay,12000,0,Online,paid,e11fca9f-c60
SINC-0033,Single,Bombay,22000,0,Online,paid,37c43c44-858
SINC-0034,Single,Bombay,22000,0,Online,paid,37c43c44-858
SINC-0035,Double,Bombay,30000,0,Online,paid,acc27966-647
SINC-0036,Double,Bombay,30000,0,Online,paid,acc27966-647
SINC-0037,Double,Bombay,30000,0,Online,paid,acc27966-647
SINC-0038,Single,Bombay,22000,0,Online,paid,37c43c44-858
SINC-0039,Single,Bombay,25000,0,Online,paid,37c43c44-858
SINC-0040,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0041,Double,Chennai,30000,0,Online,paid,acc27966-647
SINC-0042,Single,Chennai,22000,0,Online,paid,37c43c44-858
SINC-0043,Single,Chennai,22000,0,Online,paid,37c43c44-858
